iter	RMSE
0	6141.130201
1	5861.633193
2	5595.36913
3	5339.604229
4	5096.359862
5	4863.177967
6	4645.675584
7	4439.071605
8	4241.139655
9	4055.413588
10	3877.700614
11	3708.63146
12	3546.895543
13	3394.651279
14	3249.683949
15	3110.80824
16	2977.706664
17	2852.993951
18	2733.938738
19	2623.086166
20	2516.335408
21	2415.477489
22	2323.073663
23	2233.333521
24	2151.102411
25	2070.851688
26	1993.582359
27	1920.253423
28	1850.61572
29	1785.059602
30	1722.800906
31	1664.364498
32	1607.805483
33	1554.924515
34	1505.519664
35	1459.852846
36	1415.23621
37	1374.616693
38	1335.43919
39	1299.541492
40	1264.305436
41	1232.701424
42	1203.62018
43	1174.755685
44	1145.218264
45	1119.59266
46	1095.00069
47	1072.719289
48	1052.11003
49	1029.408201
50	1008.622638
51	990.2904843
52	972.4200353
53	955.4099493
54	940.4564157
55	924.8312451
56	911.1159744
57	897.9283964
58	881.8413857
59	869.8965051
60	859.5841443
61	847.7988787
62	832.5314226
63	823.1936707
64	812.0657577
65	802.4360559
66	793.7001803
67	783.7758535
68	775.0038406
69	768.2111316
70	756.9402115
71	748.8765924
72	738.5999297
73	733.0463059
74	726.6113345
75	720.7427665
76	713.9400473
77	709.2866198
78	702.4717506
79	697.2577615
80	690.0617325
81	684.8502108
82	680.3126515
83	676.7641217
84	672.2948467
85	667.270903
86	663.1210391
87	658.1606965
88	655.1422559
89	649.000128
90	646.5300503
91	642.2452349
92	639.3202166
93	635.3741701
94	629.175038
95	623.3845901
96	617.5067614
97	614.5659026
98	608.1339284
99	603.9149562
100	602.038059
101	600.1820575
102	597.5158024
103	594.1663012
104	591.3759629
105	586.9372183
106	582.3752224
107	580.670759
108	579.2161308
109	577.2718367
110	575.9609451
111	574.0550567
112	572.4619233
113	571.0143978
114	568.9540363
115	567.3734247
116	565.4495699
117	563.8045393
118	562.3769329
119	559.5691839
120	557.7860858
121	554.1316202
122	552.1868854
123	550.2259049
124	548.8723386
125	546.1564336
126	544.8402596
127	542.0808701
128	540.8114481
129	538.5083714
130	536.506717
131	535.024647
132	534.2233894
133	533.5544009
134	531.5118984
135	529.9173116
136	529.0810055
137	527.377671
138	524.9427987
139	523.7230277
140	522.1551223
141	521.3470683
142	520.5595536
143	519.8035395
144	519.0729501
145	516.6193002
146	514.7968754
147	514.1750367
148	513.2994114
149	511.8851223
150	510.5348176
151	509.1694506
152	508.0639245
153	507.6535397
154	506.1992802
155	504.8293435
156	504.0066497
157	503.0744595
158	501.8326094
159	500.2562388
160	498.1615687
161	496.8183356
162	494.7736304
163	493.2748819
164	491.7995267
165	490.7252502
166	489.9565453
167	488.9982613
168	488.027136
169	487.0718022
170	485.2537231
171	483.9102063
172	482.7603917
173	482.1860994
174	481.1578573
175	479.7991052
176	478.7368676
177	477.7616661
178	476.7600612
179	475.3955837
180	474.3471924
181	473.2514383
182	472.7358518
183	471.4324733
184	469.8701278
185	468.7768853
186	467.8951599
187	467.4007587
188	466.6875017
189	465.9511972
190	465.2201215
191	464.3943165
192	463.4048568
193	461.8564876
194	461.2429785
195	460.2230911
196	459.3397175
197	458.7887976
198	458.0887116
199	457.6554439
200	457.0171861
201	456.4363903
202	455.0189259
203	454.685032
204	453.851084
205	452.9635128
206	452.3691125
207	451.8151238
208	451.1059116
209	450.7746723
210	450.1738287
211	448.9735298
212	448.3619445
213	447.6413313
214	447.3149067
215	446.6881395
216	446.2158017
217	445.6233674
218	444.3818571
219	443.3922893
220	442.3696287
221	441.8567787
222	441.0754634
223	440.4967876
224	439.3977179
225	439.1083085
226	438.5035241
227	437.5720182
228	437.2851611
229	436.9963814
230	436.5686611
231	436.3091876
232	435.7575282
233	435.4644933
234	434.6565931
235	434.0164384
236	433.3623915
237	432.98363
238	432.3771389
239	431.7471986
240	431.3479523
241	430.6628215
242	430.4067638
243	429.702631
244	429.1032396
245	428.7265452
246	428.4627282
247	428.043731
248	427.3885935
249	426.8511961
250	426.4466271
251	425.9706784
252	425.4153312
253	424.6168382
254	423.8802265
255	423.2796606
256	422.7962274
257	422.3980364
258	422.0675891
259	421.313416
260	420.7581004
261	420.4755947
262	420.1314793
263	419.6790768
264	419.2107518
265	418.8559366
266	418.5418718
267	418.1961528
268	417.7919773
269	417.4042206
270	416.9593038
271	416.7081122
272	416.3604814
273	415.9886151
274	415.6220607
275	415.3742834
276	414.9238772
277	414.6224253
278	414.4469091
279	414.1798611
280	413.874407
281	413.635979
282	413.148314
283	412.8182407
284	412.388568
285	412.1587363
286	411.5189017
287	411.162913
288	410.4730337
289	410.1907844
290	409.8117216
291	409.6107315
292	409.1442634
293	408.8866962
294	408.642238
295	408.2281403
296	407.8816886
297	407.5827033
298	407.1979799
299	406.8435989
300	406.5650938
301	406.0584488
302	405.8421494
303	405.5887606
304	405.4166453
305	405.0182967
306	404.62962
307	404.4281507
308	404.2661285
309	403.9059393
310	403.6632331
311	403.2683244
312	403.0173182
313	402.8344169
314	402.5910575
315	402.2842305
316	401.9867197
317	401.8057087
318	401.5603116
319	401.4122853
320	401.1483751
321	400.6873201
322	400.1914013
323	399.8830018
324	399.2936436
325	399.0011605
326	398.7684587
327	398.5916721
328	398.4814677
329	397.9432902
330	397.7695998
331	397.4425245
332	397.1764643
333	396.9512161
334	396.6572184
335	396.5106882
336	396.383601
337	395.855408
338	395.5448214
339	395.2684117
340	395.0629083
341	394.785528
342	394.5931803
343	394.3443066
344	393.8316663
345	393.6443196
346	393.4132829
347	392.9172382
348	392.723545
349	392.6088793
350	392.4435784
351	392.2349283
352	392.1003683
353	391.8829002
354	391.7615311
355	391.544163
356	391.3997566
357	391.1883581
358	390.9211849
359	390.5522304
360	390.3728751
361	389.9964398
362	389.7354059
363	389.5496505
364	389.1837621
365	389.0638079
366	388.8239338
367	388.5202816
368	388.3300969
369	388.0606229
370	387.8072691
371	387.6584758
372	387.3938529
373	387.2214806
374	387.0535777
375	386.8917644
376	386.7879901
377	386.6251056
378	386.402092
379	386.1799758
380	386.0081145
381	385.7359914
382	385.3133216
383	385.1028139
384	384.7675834
385	384.6287214
386	384.3878953
387	384.1644732
388	384.0373204
389	383.7438925
390	383.3773356
391	383.261271
392	382.9961982
393	382.8467858
394	382.6333304
395	382.4966208
396	382.260509
397	382.1043838
398	381.8278535
399	381.6607462
400	381.3736336
401	381.171197
402	380.9907299
403	380.8328608
404	380.6722977
405	380.5296644
406	380.345629
407	380.1496123
408	379.9553667
409	379.8210656
410	379.7032939
411	379.5794984
412	379.433897
413	379.1761011
414	379.05056
415	378.9303191
416	378.7525888
417	378.3251848
418	378.2066679
419	377.9412665
420	377.7429639
421	377.6381948
422	377.4864613
423	377.3134249
424	377.1957448
425	377.0629113
426	376.9379466
427	376.6912832
428	376.5478775
429	376.3483533
430	376.2369665
431	376.0649303
432	375.9088014
433	375.7425048
434	375.5480735
435	375.3770294
436	375.2780403
437	375.1826868
438	375.0355492
439	374.8807691
440	374.7306211
441	374.6164589
442	374.491876
443	374.3291182
444	374.2132473
445	374.0184574
446	373.8523791
447	373.7294419
448	373.6209799
449	373.5120436
450	373.2188207
451	373.092825
452	372.9751962
453	372.8853819
454	372.8030254
455	372.6094207
456	372.5100915
457	372.3308892
458	372.2308865
459	372.0785654
460	371.9392664
461	371.8180849
462	371.678963
463	371.5309408
464	371.3566119
465	371.2458497
466	371.169655
467	371.0463075
468	370.9449008
469	370.8366407
470	370.7428887
471	370.5547739
472	370.4573119
473	370.3231667
474	370.2130021
475	370.1066466
476	370.0168687
477	369.7482494
478	369.6804211
479	369.5893972
480	369.4162471
481	369.2860377
482	369.172211
483	368.9598981
484	368.8240226
485	368.715497
486	368.582722
487	368.4617986
488	368.3329333
489	368.233501
490	367.8630025
491	367.7736576
492	367.4443456
493	367.3556305
494	367.2219061
495	367.1433256
496	367.0425941
497	366.8836001
498	366.784932
499	366.644671
