iter	Passed	Remaining
0	199	99664
1	211	52736
2	222	36819
3	231	28750
4	241	23941
5	251	20700
6	261	18396
7	270	16658
8	279	15245
9	290	14216
10	299	13326
11	310	12627
12	320	11991
13	329	11425
14	338	10960
15	348	10548
16	359	10228
17	370	9924
18	381	9654
19	393	9434
20	403	9196
21	413	8985
22	424	8807
23	436	8647
24	449	8545
25	461	8418
26	472	8273
27	481	8113
28	492	7996
29	502	7868
30	511	7741
31	521	7632
32	531	7525
33	542	7431
34	552	7340
35	562	7247
36	572	7157
37	582	7084
38	592	7007
39	603	6937
40	612	6860
41	623	6798
42	633	6731
43	643	6672
44	654	6613
45	664	6559
46	675	6505
47	686	6460
48	696	6407
49	705	6352
50	716	6307
51	726	6257
52	737	6216
53	747	6175
54	758	6133
55	768	6090
56	776	6037
57	786	5991
58	795	5949
59	806	5911
60	815	5871
61	825	5828
62	836	5801
63	846	5767
64	856	5729
65	865	5693
66	875	5659
67	886	5629
68	895	5593
69	905	5560
70	915	5530
71	924	5496
72	933	5461
73	943	5430
74	952	5397
75	962	5369
76	971	5338
77	981	5311
78	992	5289
79	1003	5270
80	1014	5248
81	1025	5225
82	1035	5203
83	1046	5182
84	1056	5158
85	1067	5137
86	1078	5119
87	1088	5095
88	1099	5077
89	1109	5054
90	1119	5032
91	1129	5011
92	1139	4987
93	1150	4969
94	1161	4953
95	1171	4929
96	1181	4908
97	1191	4888
98	1200	4862
99	1210	4840
100	1218	4813
101	1227	4787
102	1235	4763
103	1244	4738
104	1253	4715
105	1262	4692
106	1272	4674
107	1281	4650
108	1289	4626
109	1298	4603
110	1306	4580
111	1315	4558
112	1325	4540
113	1335	4521
114	1344	4501
115	1353	4480
116	1363	4462
117	1371	4441
118	1381	4423
119	1391	4407
120	1401	4391
121	1411	4373
122	1420	4353
123	1431	4339
124	1440	4320
125	1450	4304
126	1459	4287
127	1469	4270
128	1480	4259
129	1489	4240
130	1499	4222
131	1509	4208
132	1518	4191
133	1527	4173
134	1537	4155
135	1546	4139
136	1555	4122
137	1565	4107
138	1574	4089
139	1583	4072
140	1592	4055
141	1602	4040
142	1611	4023
143	1621	4008
144	1630	3990
145	1638	3973
146	1648	3957
147	1656	3939
148	1664	3922
149	1674	3907
150	1682	3888
151	1691	3871
152	1700	3855
153	1708	3838
154	1718	3824
155	1728	3810
156	1737	3795
157	1746	3780
158	1756	3766
159	1765	3751
160	1774	3736
161	1784	3723
162	1793	3708
163	1803	3694
164	1813	3680
165	1823	3668
166	1832	3654
167	1843	3642
168	1852	3628
169	1862	3615
170	1872	3602
171	1882	3589
172	1892	3576
173	1902	3564
174	1912	3550
175	1921	3537
176	1929	3521
177	1939	3509
178	1949	3495
179	1958	3480
180	1967	3467
181	1978	3456
182	1987	3442
183	1996	3428
184	2005	3415
185	2015	3402
186	2025	3390
187	2034	3376
